Yöntem Rapor	Yöntem
"Proje önerisinde daha çok ön plana çıkan teorik tartışmalara ve buna ilişkin literatüre katkıda bulunma isteğine uygun bir yöntem olarak nitel yöntem benimsenmiştir. Bu anlamda ülke düzeyinde iletişim teknolojileri ve özellikle sosyal medya bağlamında sınıf tartışmalarında söz konusu algı değişimine ilişkin bir ölçümün yapılabilmesi anlamında çalışmada tercih edilen yöntem isabetlidir. Öte yandan, metodolojik olarak araştırma projesinde bazı temel sorunlar bulunmaktadır:Örneklem olarak alınacak ağların ve örgütlenmelerin basılı ya da online materyallerine bakılacağını ve eleştirel söylem çözümlemesi yapılacağını belirten yöntem kısmında, bu örgütlenmelerin tam olarak ne tür materyallerine bakılacağı yeterince detaylandırılmamıştır. Oysa projenin amaçlarında ve kapsamında bu platformların özellikle sosyal medyayı kamusal alan olarak kullanmalarının araştırmanın konusu olduğuna değinilmiştir. Dolayısıyla bu aşamada sosyal medya platformlarının nasıl analiz edileceğine dair bir metodolojik açıklama yapılması beklenirdi. Çalışmanın yöntemi olarak “online forum” çalışmasının bir parçası şeklinde edilgen olmayan literatür taraması ve söylem çözümlemesi, derinlemesine görüşme, odak grup, katılımcı gözlemi içine alan çoklu araştırma yöntemleri temelinde kurgulanmıştır. Ancak bu kadar farklı yöntemlerin aynı projede nasıl uygulanacağına ilişkin ayrıntılı bir plan görülmemektedir. Bu yöntemlere ilişkin açıklamaların literatüre yeterli atıflar yapılarak ortaya konmadığı görülmektedir. Online forumlara gözlemci olarak katılmanın koşulları ve araştırma etiğine uygun biçimde izlenecek yol net açıklanmalıdır.Derinlemesine görüşme ve odak gruplara dair metodolojik olarak detaylı bilgiye ihtiyaç vardır (Örneğin kaç kişiyle derinlemesine görüşme yapılacak; bunların temsiliyetleri nasıl olacak; toplamda kaç odak grup olacak ve odak grupların katılımcıları hangi kıstaslara göre belirlenecek vb.)Eleştirel söylem çözümlemesinin kapsamının ne olduğuna ve neden tercih edildiğine (“iddiası nedir”) dair bir açıklama yoktur. “Eleştirel söylem çözümlemesi çalışması söz konusu yapılara ilişkin temel bir bakışın oluşturulması ve ele alınan prekerleşme, örgütlenme ve alternatif yeni kullanımlarına ilişkin yaklaşım oluşturmakta kullanılacaktır” cümlesi açıklayıcı nitelikte değildir. Aynı biçimde, odak grup görüşmelerinde, derinlemesine görüşmelerde kullanılacak sorular ve gözlem kayıtları alınırken kullanılacak formun ana hatlarıyla aktarılması yararlı olabilir. Taslak görüşme formları ve sorular ne tür yarar/katkı hedeflenerek odak grup görüşmelerinin planlandığı da açıklanması önerilir. Proje öneri metninde yer alan ""esas hedef, farklı sektörlerdeki beyaz yakalıların, mesleki farklılıklara rağmen, ortak bir talep paydası oluşturup bir sınıf haline gelme şanslarını saptamaktır"" ifadesiyle karşılanan bağlamın kitle iletişim alanındaki mevcut yöntemlerle ölçülmesi gerçekçi değildir. Diğer yandan, ""platform ve grupların analizi"" için önerilen ""sosyal medya kullanımlarının çözümlenmesi"" süreci belirsizdir. Bu aşamada kullanılacak yöntemin net olarak belirtilmesi gerekir. Ayrıca alternatif yeni medyanın öneminden ve dönüştürücü etkisinden söz ediliyor ancak bunun yöntemdeki açılımına rastlanmamaktadır. Yöntem başlığında anılan örneklemin, projenin hedeflerini karşılayacak büyüklükte olmadığı da bu noktada belirtilebilir.Literatür taraması aşamasında önerilen forum gerçekçi ve yeterince kapsayıcı olmak konusunda ikna edici değildir. Bu önerinin gerçekçi olup olmadığının değerlendirilebilmesi için daha detaylandırılmış bir plana ihtiyaç vardır. Sonuç olarak, proje önerisinin konusu ilginç olmasına karşın, projenin yönteminde çeşitli belirsizlikler ve eksiklikler saptanmıştır."	1
Yönteme dair aşağıdaki sorunlar tespit edilmiştir: Proje, mekansal değişimin oy verme davranışını nasıl etkilediğine yönelik kuramsal ve kavramsal bir yenilik getireceğini iddia etmesine rağmen, bu değişimin Türkiye'de katılım mekanizmalarını nasıl etkileyeceği belirsizdir.Çalışmanın temel konusu kentsel dönüşüm olmasına rağmen, literatür özetinde bu konuya yeterince yer verilmemiş ve mevcut literatür üzerinden net bir hipotez oluşturulmamıştır. Çalışmanın özet kısmında aktarılan farklı kentsel dönüşüm tipleri hipotez içerisinde yer bulmamıştır.Proje önerisinde 2007, 2009, 2011 ve 2014 seçimlerinin sandık sonuçlarının sandık bazında inceleneceği belirtilmiştir. Ancak seçim sandıkları her seçimde değiştiğine göre ilgili sandık sonuçlarının bir sonraki seçimde nasıl elde edileceği belirtilmemiştir. Bu durumun, açıklığa kavuşturulmaya ihtiyacı vardır.Projede, niçin ve hangi kriterlere göre ilgili il ve bölgelerin seçildiği hususu ayrıntılı bir biçimde gerekçelendirilmemiştir. Bununla birlikte, çalışmanın yapılacağı mahallelerin hangi kriterlere göre seçildiği de belirtilmemiştir. Örnekleme dahil edilen mekanlardaki demografik değişimlerin nasıl izleneceği belirsizdir. Oy verme davranışındaki değişikliklerin kentsel dönüşümle ilişkilendirilmesi için benzer sosyo-ekonomik özelliklere sahip ve kentsel değişim geçirmemiş bir kontrol grubuyla kıyaslanmasına ihtiyaç bulunmaktadır. Örneklem seçiminin hangi kritere göre belirlendiği ve neden bu kadar geniş bir örneklem ile çalışılacağı ayrıntılı bir biçimde açıklanmamıştır. Proje önerisinde, görüşülecek kişilerin belirlenmesinde yararlanılacak YSK seçmen listeleri ya da Adrese Dayalı Nüfus Kayıt Sistemi’nin araştırmacıların kullanımına açılabileceğine dair herhangi bir bilgi yoktur. B Planı, bu tür verilere ulaşılamaması durumunda mahalle muhtarlıklarının kayıtlarının kullanılmasını önermektedir. Ancak, proje ekibinin bu kayıtlara (yani belirli bir bölgede ikamet eden kişilerin isim ve ikamet bilgilerine) ulaşıp ulaşamayacaklarına dair bir bilgi öneride sunulmamıştır. 	2
"Proje önerisi, sektör ve akış analizi, endüstri temsilcileri ve yetkililerle derinlemesine görüşmeler ile niteliksel biçimde başlayacak, ardından izlerkitlenin niceliksel bir analizini gerçekleştirecektir. Olgunun endüstri ve niceliksel olarak saptanmış izlerkitlenin analizinden sonra ise, Türkiye'de yaygın olmayan bulanık bilişsel haritalama ile izlerkitle etnografisi tekniklerini kullanacak olması, konunun boyutlarının derinlikli biçimde görülmesini sağlayacaktır. Yönteme dair izlenecek sıra ve bu süreçteki ön hazırlık, tutarlı, gerçekçi ve işe vuruktur.İlk öneriye sunulan raporda önerildiği üzere araştırmada medya etnografisine de yöntemsel olarak yer verileceği belirtilmiştir; ancak proje önerisinde medya etnografisine yaklaşım yüzeysel kalmıştır. Uygulama aşamasında (iş paketi 2. 15) medya etnografisine uygun nitelikte tasarlanmalıdır.Proje önerisinde 4. ve 5. iş paketlerinde, hizmet alımı yoluyla gerçekleştirilmesi planlanan sektör temsilcileriyle derinlemesine görüşmeler ve çözümlemelerinin, hem saha çalışmasının doğası gereği, hem de ekibin akademik gelişimine katkı sağlaması açısından, hem de ekibin niteliği, yetkinliği ve sayısı çokluğu göz önüne alındığında proje ekibi tarafından yapılması uygun bulunmuştur. Bulanık bilişsel haritalama uygulamasının ardından seçilecek 20 kişiye yapılacak olan derinlemesine görüşmelerin yine araştırma ekibi tarafından yapılması uygun olacaktır."	4
"Araştırma önerisinin ulusal, yerel ve bölgesel televizyonlarda çalışan kadın gazetecilere hem anket uygulanarak çalışma pratikleriyle ilgili temel sorunlar ve deneyimlerine ilişkin veri derlemeyi hedeflemesi, hem de derinlemesine görüşmelerle televizyon haberciliği mesleğinin kendine özgü dinamikleri mesleki yaşantılarında nasıl karşıladıkları; toplumsal cinsiyet farklılığının mesleki pratiklerde de bir farklılaşmaya yol açıp açmadığı; açıyorsa bu farklılıkları nasıl deneyimledikleri; aile yaşantısı ile habercilik sektörü arasında nasıl bir denge kurdukları ya da böyle bir denge kurup kuramadıkları; gazeteci olarak nasıl kimliklendikleri, mesleklerine yönelik bakışları ve profesyonellik anlayışları vb. pek çok parametrenin birlikte analiz edilecek olması yöntemin uygunluğuna işaret etmektedir. Özellikle haber üretim sürecinde kadın gazetecilerin/habercilerin çalışma pratiklerinin ve kimliklenmelerinin analiz edilmesi ve anlaşılması bakımından derinlemesine görüşme tekniğinin kullanılacak olması da, tercih edilen yöntemin niteliğini artırmaktadır. Araştırmanın gazete ve televizyon olmak üzere iki ayrı mecrada yapılması planlanmaktadır. Bunun yanında ulusal/yerel ayrımı gözetilmektedir. Bu tablo, geniş bir kurumsal alanı kapsamaktadır. Söz konusu alanda araştırma evrenini temsil etmek üzere belli aralıklarda verilen rakamların, örneklemin oluşturulmasında yeterli olmadığı düşünülebilir. Belirlenen örneklemin, mecraların çeşitliliğine bağlı olarak araştırma kapsamına alınacak kadın çalışanlar için yeniden düzenlenmesi gerekmektedir. Ayrıca, örneklem için verilen minimum ve maksimum sayıların aralığı oldukça geniştir. Projenin kapsamını netleştirmek adına, bu aralığın daraltılması zaruridir.Kadın gazetecilerin kimliklerinin “aile ve özel yaşam alanıyla da ilgili görerek bütünlüklü kavranması” hedefine sadece anket ve derinlemesine görüşme tekniklerinin kullanılmasıyla ulaşılması güçtür. Bu bütünlüklü kimliği kadın gazetecilerin bütün yaşam alanları yöneliminde, örneğin gözlem faaliyetiyle desteklemek gerekir. Ancak bu biçimde var olma pratikleri, profesyonel yaşam, özel alan ve kimliklenme süreci bağlamları içerisine yerleştirilebilir. Araştırmacılar anket ve derinlemesine görüşmelerin birlikte okunarak/değerlendirilerek “ortaya çıkan haber metinlerindeki kadına dair figürler ile kadın gazetecilerin habercilik anlayışları ve eğilimleri arasında herhangi bir bağlantının varlığı veya yokluğu” analizinin gerçekleştirileceğini ifade etmektedirler. Bu türden bir analizi gerçekleştirmek için hem anket sorularının hem de derinlemesine görüşme sorularının -taslak düzeyinde de olsa- sunulması gerekir. Bu açıdan metinde soru önerilerinin yer almaması önemli bir eksikliktir. Önerilen proje sayısal olarak oldukça geniş bir temsiliyete sahip görünmektedir. Ancak sayılarda ve tablolarda netlik sağlanamaması, projenin yöntembilimsel açıdan değerlendirilmesini güçleştirmektedir. Benzer biçimde, araştırmada mülakat ve anket yapılması önerilen kadın gazetecilerin kurumsal ve hiyerarşik konum olarak temsiliyetlerine dair çıkarılan tablolar araştırma yöntemini net olarak ortaya koyamamaktadır. Bu noktada, örneklemi en çok izlenen televizyon kanalları ya da en fazla tiraja sahip gazeteler arasından seçmenin ne kadar doğru olduğu sorgulanmalı; farklı ayrımlar kurmak ya da rastgele seçmek yoluna gidilebilir. "	3
Çalışmanın yöntemi (anket çalışması, yarı yapılandırılmış görüşmeler yapma, söylem analizi, medya analizi, hukuksal inceleme) çok boyutlu, disiplinler arası ve tutarlıdır. Yöntemin siyaset bilimi/uluslararası ilişkiler, sosyoloji ve hukuk boyutlarını bir araya getiren bir çatı altında yapılandırılması olumludur. Türk toplumunun Suriye krizi sonrası sosyo-ekonomik ve güvenlik algılamalarının anket ve derinlemesine görüşmeler ile karma bir metot yoluyla incelenmesi de yerindedir. Projede iki yöntemin bir arada oluşu ikna edici bir şekilde gösterilmiş ancak, devlet kurumlarının kriz sürecindeki rolü ve etkisinin nasıl inceleneceği yeterince detaylandırılmamıştır. Farklı boyutlar arasındaki uyumun sağlıklı bir şekilde sağlanması gerekmektedir. Ayrıca, farklı yöntemlerin nasıl bir arada kullanılacağı, profesyonel bir firmaya yaptırılacak olan anket çalışmasının nasıl analiz edileceği belirtilmemiştir.	4
Proje kapsamında TÜİK'in Gelir ve Yaşam Koşulları Araştırması verileri kullanılacaktır. Bu mikro veri seti kullanılarak 2006 ile 2011 yılları arasında her yıl için yoksulluğa geçiş ve yoksulluktan çıkış oranları hesaplanacaktır.Projede yöntem olarak kesikli seçim modelleri kullanılacağı belirtilmektedir. Yönteme dair çeşitli kaygılar mevcuttur:Kesikli seçim modelinin nasıl kullanılacağı net olarak ifade edilmemiştir.Tahminlerde kullanılacak değişkenler hakkında yeterli bilgi verilmemiştir. Ayrıca, yoksulluk değişkeninin farklı tanımlamalarının analize etkisi tartışılmamıştır.Fert ve hane arasındaki ilişkinin nasıl ele alınacağı yeterince açıklanmamıştır. Üç dönemde farklı seyir izleyen fert/hanelerin nasıl ele alınacağı belirtilmemiştir. Örneğin projede Markov geçişkenliği yöntemi alternatifler arasında değerlendirilebilir.Projenin hedefine ulaşması (tatmin edici birçok değişkenli analizin yapılması) için ne tür veri kısıtları olabileceği konusu yeterince tartışılmamıştır. Projede önerilen yöntemle ilerleme kaydedilememesi durumunda uygulanacak alternatif yöntem (B planı) belirtilmemiştir.	2
Proje sunumunda, yapılması planlanan deney çeşitlerindeki denek sayısı (n) ve tahmin ağırlığı (k) varyasyonlarının seçimleri gerekçelendirilmemiştir. Bu açıdan, projenin bahsi geçen n=2, k=1,2,9 p=1/2 parametrelerine sahip yüksek lisans tez çalışmasının sonuçlarından ne derecede farklı sonuçlar yaratacağı ortaya konulmamıştır.Projenin temelini oluşturan tahmin oyunu 1990'lı yıllardan beri birçok makale ve deneyde incelenmiş, yaygın bir oyundur. B planı projede belirtilen amaçlara ve hedeflere ulaşmaya uygundur. Özellikle daha önceden iki oyunculu asimetrik tahmin oyunları için deneyler yapıldığı ve beklenen sonuçların doğrulandığı belirtildiğinden, yapılacak olan deneysel uzantının gerçekleştirilmesi mümkün gözükmektedir.	4
"Kayıt dışı ekonominin büyüklüğünün ölçülmesi özü itibariyle birçok sorun içermektedir. Proje bu kısımda veri olarak Elgin ve Öztunalı tarafından iki-sektörlü bir dinamik denge modeli temel alarak geliştirilmiş bir veri setini kullanacaktır. Böyle bir model temelli, sentetik veri seti birçok eleştiriler alabilecek olsa da, daha iyi bir alternatif mevcut olmaması ve Türkiye’de yaratılmış özgün bir veri setinin projede kullanılacak olması göz önünde bulundurularak bu seçim olumlu bulunmuştur.Yöntemsel olarak ise, kullanılması planlanan Varyansta Nedensellik Testinin (VNT) konuya uygunluğu tartışmalıdır. Bu test daha çok uluslararası finans piyasalarında bilginin akış hızını, piyasaların etkinliğini vs. test etmek için kullanılmaktadır. Uluslararası para akışının hızı ve sözü edilen türde bilgilerin yayılımına olan duyarlılığı ve bu piyasaların oynaklık derecesi düşünüldüğünde VNT’nin bu konulara uygunluğu açıktır. Ancak kayıt dışı ekonominin büyüklüğü finansal piyasalardaki fiyatlar kadar hızlı bir değişim göstermez. Ayrıca kullanılan tipteki ikili nedensellik analizlerinin sahte nedenselliğe yol açarak yanıltıcı sonuçlar vermesi ihtimali göz önünde bulundurulmalıdır. Dolayısıyla kayıt dışı ekonominin yayılımını görmek için en uygun testin bu olduğunu söylemek zor gözükmektedir.Bunun haricinde iş paketi-5'te bahsedilen ""Ülkelerin Kayıtdışı ve Kayıtiçi Ekonomi Büyümesinin Transferlerine Ait Yayılım Haritalarının Oluşturulması"" aşamasının nasıl yapılacağı anlatılmamıştır. Bu haritanın nasıl oluşturulacağı açık değildir. Aynı şekilde iş paketi-6'da bahsedilen ""Yayılım haritaları incelenerek yayılımın coğrafi yakınlığa, dış ticaret ilişkilerine, benzer ekonomik koşullara, ülkelerin gelişmişlik düzeyine bağlı olup olmadığının analiz edilmesi"" aşaması da anlatılmamıştır. Bahsedilen değişkenlerin yayılıma etkilerinin nasıl inceleneceği ve test edileceği açık değildir. Bütün bunlar göz önüne alınarak yöntemde önemli eksiklikler olduğu ve önerilen yöntemin araştırma konusuyla tam olarak uyumlu olmadığı düşünülmektedir."	3
Önerilen yöntemin genel olarak uygun olduğu değerlendirilmiştir. Ancak aşağıdaki hususların da göz önünde bulundurulması önerilmektedir.	4
Projede uygulanacak yöntem şöyledir. i) Teorik bir model oluşturmak ve bu modelin Bayesgil Nash dengesini bulmak, ii) simülasyonlar yaparak dengeyi hesaplamak,  iii) 2013 Mart dönemine ait başvuru verilerini simülasyon sonuçlarıyla karşılaştırmak, iv) mevcut kullanılandan farklı mekanizmaların vereceği sonuçları incelemek. Proje gerçekleştirilirken aşağıda sıralanan kaygıların göz önünde bulundurulması önemlidir.1. Proje önerisinde kurulan modelde, tüm hakemlerin stratejik davranacağı kabul edilmiştir. Bu varsayım altında bulunan denge gerçek veri seti ile kıyaslanıp, hakemlerin stratejik davranıp davranmayacağı tespit edilecektir. Oysa gerçekte hakemlerden sadece bir kısmının stratejik davranması, diğerlerinin gerçek değerlendirmelerini puanlarına yansıtması beklenebilir. Dolayısıyla şu anki model sonucunu verilerle kıyaslayıp hakemlerin stratejik davranıp davranmadığını belirlemek yanıltıcı olabilir. Model, hakemlerin sadece bir kısmının stratejik davranmasına izin verecek şekilde değiştirilirse elde edilecek sonuçlar daha sağlıklı olabilir.2. Verilerde projelere hakemler tarafından verilen değerlendirme puanları bilinirken, projelerin gerçek değerleri bilinmemektedir. Dolayısıyla, simülasyon sonucu elde edilecek sonuçlar ile gerçek verinin nasıl kıyaslanacağı proje önerisinde daha net bir şekilde açıklanabilir. 3. Hakemlerin değerlendirme yaparken eşik değerlerini bilip bilmedikleri proje önerisinde net bir şekilde belirtilmemiştir. 4. Gerçek hayatta kimlerin hakem olarak seçileceği de önemli stratejik hamlelerden biridir. Önerilen modelde hakem atamasının stratejik olmadığı üstü kapalı olarak varsayılmaktadır. Ayrıca üç değerlendirmeciden hangisinin üçüncü hakem olarak atanacağı da (ki bu husus en başta ilk iki değerlendirmeciyi seçerken stratejik olarak düşünülebilir) önemli bir husustur. Genel olarak değerlendirmecilerin stratejik motivasyonuna ek olarak ajansların (ya da dergi editörlerinin) değerlendirici seçerken stratejik olma motivasyonları olabilir. Çalışmanın bu durumu da ek olarak ya da enformel olarak incelemesinin faydalı olacağı düşünülmektedir. 5. Veriler Mart 2013 için kalkınma ajansına sunulan proje önerilerini kapsamaktadır. Ancak toplamda kaç gözlem olduğu belirtilmemiştir. Elde edilmesi mümkünse başka dönemlerdeki verilerin de projeye eklenmesi faydalı olacaktır.	4
Projenin yöntemi sunulurken tahmin edilecek denklemler ayrıntılı biçimde tartışılmıştır. Ancak kullanılacak TÜİK verilerinin özelliklerinden hiç bahsedilmemiştir. Girişimlerde bilişim kullanımı araştırması 2005 yılından bu yana yapılmakta, 2009 yılından beri de yıllık olarak üretilmektedir. Yapısal iş istatistikleri ve Ar-Ge istatistikleri ile bu verinin nasıl birleştirileceği, hangi değişkenlerin hangi veri setinden geleceği sunulmamıştır. Çalışmanın özetinde analizin 2003-2012 yıllarını kapsayacak şekilde yapılacağı belirtilmiştir. Ancak toplanılan verinin özellikleri göz önüne alındığında bu süreyi kapsayan bir çalışma yapılması zor gözükmektedir. Ayrıca kullanılacak dinamik panel modeli nedeniyle gözlem kaybı olacaktır. Panel veri modellerin de zaman serisi boyutunun kısa olmasından kaynaklanan sorunların nasıl çözüleceğine çok fazla değinilmemiştir. Projenin yöntem kısmında yıllık Sanayi ve Hizmet İstatistikleri (YSHİ) veri tabanında sermaye stoku bilgisi yoktur.  Bu değişken ekonometrik modeller için gereklidir.  Bu değişkenin nasıl hesaplanacağı da belirtilmemiştir.Yine Blundell ve Bond (1998) GMM metodolojisinin etkin kullanımı için, zaman boyutu uzun olan bir panel veri seti gerekmektedir. Proje başvurusunda, kullanılması planlanan TÜİK verisinin bu yöndeki yeterliliği tartışılmamaktadır. Ayrıca imalat ve hizmet sektörüne ait analizlerin bu sektörlerin farklılıklarını göz önüne alacak şekilde kurgulanması gereklidir.Sonuç olarak proje önerisinin birtakım yöntemsel eksiklikleri mevcuttur.	3
Öneride araştırma modeli oldukça detaylı bir şekilde izah edilmiştir. Ancak öneride kullanılması planlanan Hanehalkı Bütçe Anketinin (TÜİK Gelir ve Yaşam Koşulları Anketi yerine) tercih edilmesine ilişkin gerekçe izaha muhtaçtır. Özellikle 2008-2012 dönemini kapsayan veri setinin konjonktürel değişiklikleri de (kriz dönemleri vb.) dikkate alıp almayacağı açık değildir. Öte yandan iki değişkenli probit modelin seçilmesi de eleştiriye açıktır. Bu yöntem, iş gücüne katılım ve sosyal yardım almanın kesitli kararlar olduğu ve de bu kararlar arasında eş zamanlılıktan kaynaklanan bir ilişkinin varlığı söz konusu olduğu varsayımları altında kullanılan bir tahmin yöntemidir. Dolayısıyla yöntemin, ekonometrik olarak eş zamanlılığı modelleyeceğine diğer bir ifade ile çalışmadaki iki ana değişkenin (iş gücüne katılım ve sosyal yardımlar) belirleyicilerini ve bunların hata terimlerinin arasındaki korelasyonu ortaya koyacağına şüphe yoktur. Bu boyutuyla, tahmin yöntemi projede belirtildiği gibi eş anlılık analizi için uygundur. Ancak özgün değer kısmında da belirtildiği üzere bu sonuçların birey/aile için nasıl bir kısıt/getiri yapısında ele alınıp yorumlanacağı önem kazanmaktadır. Aksi halde bu iki kararın univariate probit ile tahmin edilip, bivariate probit sonuçları ile karşılaştırılmasında ekonomik temelli bir yorumlama zorlaşacaktır. Ayrıca projede önerilen yöntemin içsellik sorunu ile seçim sorununu (selection bias) birbiriyle karıştırdığı gözlenmiştir.Ayrıca B planına öneride rastlanılmamıştır. Projenin herhangi bir risk öngörmüyor olması eleştirilecek bir husus olarak değerlendirilmiştir.Sonuç olarak, yöntemin özellikle “işgücüne katılım” ve “sosyal yardımlar” aralarındaki nedensel ilişkiyi ortaya koymak için uygun olmadığı değerlendirilmiştir. Bir diğer ifade ile yöntem “artan sosyal yardımlar işgücüne katılımı olumsuz yönde etkiliyor mu?” sorusunu yanıtlamakta yetersiz olduğu düşünülmektedir.	2
Projenin özgün değeri yüksek olmakla birlikte yöntemsel açılardan sorunlar içerdiği gözlenmektedir. Öncelikle çalışmanın ilk kısmında kullanılması öngörülen ekonometrik yöntem (çoklu regresyon modeli) uygun değildir. Tüm örneklem kullanılarak gerçekleştirilecek tahminlerde, bağımlı değişken konut sahibi olmayanlar için sıfır değerini almaktadır. Analizleri bağımlı değişkenin bu haliyle gerçekleştirmek tahminlerde bir sapmaya yol açacaktır. Dolayısıyla burada bir örneklem seçim probleminin varlığından söz etmek mümkündür ve çoklu regresyon tekniği yerine, örneğin Heckman tarafınca önerilen iki aşamalı yöntemin kullanılması daha uygun olabilecektir (Heckman, 1979: “Sample Selection Bias as a Specification Error”, Econometrica). Öneride ayrıca aynı modelin ev sahipleri, kiracılar ve gizil kiracılar için ayrı ayrı tahmin edilmesi de öngörülmektedir. Yukarıda açıklanan problemin bu tahminlerde de ortadan kalkmayacağı açıktır.Çalışmanın ikinci kısmında ise yine 2012 yılı TÜİK verileri kullanılarak, özellikle kentsel alanlarda farklı konut tipleri için önce kapitalizasyon oranlarının hesaplanması, sonrasında ise bu oranların belirleyenlerinin regresyon analizleri yardımıyla incelenmesi planlanmaktadır. Kapitalizasyon oranlarının hesaplanmasında, TÜİK Hane Halkı Bütçe Anketi verilerinin ne derece uygun olduğu yeterince irdelenmemiştir. Özellikle izafi kiranın TÜİK tarafından nasıl elde edildiğinin açık bir şekilde belirtilmesi faydalı olacaktır.Bu yöntemlerle sınanacak olan hipotezlerin temelinde yatan kuramlar yeterince detaylandırılmamıştır. Kullanılması önerilen veri ile hane halkının o konuttaki ev sahipliği süresi bilinmekle birlikte, önceki dönemlerdeki ev sahipliği durumu ve süresi bilinmemektedir. Bu noksanlığın çalışmaya etkileri ve barındırdığı olası riskler değerlendirilmelidir.Sadece ev sahiplerinden yola çıkılarak bir kapitalizasyon hesaplanmasının yaratacağı sapmalar tartışılmamıştır. 	2
"Proje önerisinin en kritik unsuru emek piyasası ve emek piyasasına ilişkin algıları temsil edecek bağımsız değişkenlerin belirlenmesi olacaktır.  Bu konuda yöntem bölümü bir miktar daha açıklayıcı olabilirdi.  EİT'nin firma içi yayılmasında literatürde ne tür emek piyasası değişkenlerinin kullanıldığı konusu yeterince ele alınmamıştır. Yöntem bölümünde hangi bağımlı ve bağımsız değişkenlerin kullanılacağı konusuna ancak verilere daha yakın baktıktan sonra karar verileceği belirtilmiştir. Bu tabii ki anlaşılır bir durumdur.  Ancak listelenen değişkenler ile teorik olarak gerekli olan değişkenler (yani teorik değişkenler ile işlemsel tanımları) arasındaki ilişki daha açık bir biçimde ortaya konulabilirdi. Kısacası İş Paketlerinde yer alan ""ampirik literatürün yöntemsel değerlendirmesi"" unsurunun bir bölümünün zaten proje teklifinde yapılmış olması beklenebilirdi.Hipotezler henüz formüle edilmemiştir. TÜİK'ten alınacak veri seti (ikincil veri) betimsel olarak incelendikten sonra araştırmanın değişkenlerinin neler olacağı netlik kazanacaktır. Araştırma kapsamındaki yayılma, piyasa koşulları, algılar ve iş gücünün nitelikleri gibi kavramların TÜİK verilerindeki değişkenlerle ne ölçüde örtüşeceği, örtüştüğünü varsaysak bile bu kavramların literatürdeki operasyonel tanım ve ölçümleri ile TÜİK'teki ölçümlerin ne ölçüde birbirini tutacağı şu an için belirsizdir. Verilerde sorun olmayacağını varsaysak bile hipotezler belli olmadığı için analiz model ve yöntemlerini yorumlamak da zordur.Proje önerisi yöntemsel anlamda yazına katkı içermemektedir. Bu projede kesikli olmayan veriler için EKK, kesikli veriler için ise ordered probit modeli kullanılacaktır. EKK yöntemi bu tip çalışmalarda uygulanan en basit modeldir. Ayrıca yapılması düşünülen sektörler üzerinde çokça çalışılan en genel sektörler olup, kullanılması düşünülen veri değişkenler de yine bu tip çalışmalarda kullanılan en bilinen, en çok kullanılan değişkenlerdir. İlgili TÜİK veri setine dair kimi bilgiler (örneklem boyutu ve kapsamı) başvuru formunda yer almamıştır. "	2
Kullanılacak yöntem kesit veri için iki değişkenli probit yöntemi olacaktır. Ekonometrik model iş arama ve istihdam edilmeyi iki farklı değişken olarak ele alıp, bu iki değişkenin birbiriyle ilişkili olduğu varsayımıyla, bunlar için iki denklem tahmin etmeyi amaçlamaktadır. Her iki denklemin dayandığı değişkenler aynı veya farklı olabilir. Bu değişkenlerin parametrelerini kullanarak ilgili değişkenin iş arama ve istihdam edilmeye etkileri bu tahmin sonrasında elde edilir. Buradaki temel varsayım, bu iki denklem ayrı ayrı tahmin edildiğinde elde edilecek sonuçlar eğer iki denklem ilintili ise yanıltıcı olacağıdır.Ayrıca aşağıda belirtilen hususların da dikkate alınması beklenmektedir.Yöntem yeterince açık ve anlaşılabilir bir şekilde sunulmamıştır. Özet bölümünde sınırlı ölçüde açıklanan veri setleri, verilerin kaynağı ve seri periyodu gibi açıklamalara yöntem bölümünde yer verilmemiştir.Önerilen projede uygulanacak yöntemin modeli (bivariate probit) açıklanmaktadır, ancak kullanılacak veri setinin panel yapısına sahip olmamasının ve dolayısıyla çalışan kişi düzeyinde dinamik tahminler/sonuçlar elde etmenin mümkün olmamasının yöntemsel açıdan değerlendirilmesi sunulmamıştır.Kategorik değişkenlerin nasıl belirlendiği de açıklanmamıştır.Simulated Annealing gibi özel optimizasyon algoritmalarının ne katkı sunacağı ya da nasıl sorunları giderebileceği açıklanmamıştır. Projeden anlaşılamayan iş arama davranışına dair verinin (ilişkin bilgileri içeren diğer mikro veri setleri kullanılarak denmiştir) hangi kaynaktan elde edileceğidir. Kullanılacak temel veri seti 2004-2012 Hanehalkı İş Gücü Anketi’dir. Diğer taraftan eğer iş arama davranışı verileri bu anketten geliyor ise de buradaki verinin hangi soruları sorduğu ve istenilen değişkeni elde etmede nasıl kullanılacağı tartışılmalıdır. Proje özet bölümünde Türkiye için çalışırken iş arayanların oranı 2006 ve 2010 yıllarında sırasıyla %28 ve %18 olarak verilmiştir. Bu verilerin kime/hangi kuruma göre olduğunun verilmesi daha sağlıklı olacaktır.Projenin B planı bulunmamaktadır. B planının boş olmasını projede herhangi bir olumsuzluk beklenmediği şeklinde yorumlansa bile bunun belirtilmesi faydalı olacaktır. 	3
